name,address,cuisine,opening_hours,latitude,longitude
Ikko,Avenue Claude Vellefaux,japanese,"Mo-Su 12:00-15:00,19:00-23:00",48.8751593,2.3701002
Crazy Noodles,Avenue de Choisy,noodle,"PH,Mo-Su 11:30-14:30,18:30-22:30",48.8300676,2.3566379
Krishna Bhavan,Rue Galande 75005,indian,Mo-Su 11:30-23:00,48.8511454,2.3477993
Bistroy… les Papilles,Rue Gay-Lussac 75005,french,Tu-Su 09:30-24:00,48.8446336,2.3417051
Café de la Nouvelle Mairie,Rue des Fossés Saint-Jacques 75005,french,Mo-Fr 08:00-24:00,48.8454582,2.3447912
Crêperie Le Petit Josselin,Rue du Montparnasse 75006,crepe;pancake,"Mo-Sa 12:00-15:00, 19:00-23:00; Su off",48.8419273,2.3255444
Konvives,Rue de la Jonquière 75017,french,"Mo-Fr 12:00-14:00,19:00-23:00",48.894695,2.3193622
Le Procope,Rue de l'Ancienne Comédie 75006,french,Th-Su 11:30-24:00,48.8530641,2.3387326
Asian Touch,Rue Saint-Maur,marocco,"Tu-Fr 12:00-15:00, 18:30-22:30; Sa 12:00-15:00, 19:00-23:00; Su 10:30-15:00",48.8726847,2.3710038
Le Quincy,Avenue Ledru-Rollin 75012,regional,"Mo-Sa 12:00-15:00,19:00-22:00",48.8470348,2.3700906
À la frégate,Avenue Ledru-Rollin 75012,fish,"Mo-Fr 12:00-14:30,19:00-22:30",48.8471308,2.370266
Les Petites Bulles,Rue Simart 75018,french,"Mo-We 11:00-13:30,17:00-20:30",48.8904978,2.3481826
Le Bistrot de Lyon,Rue Michel Chasles 75012,french,Mo-Su 09:00-22:00,48.8466233,2.3740562
Toritcho,Rue du Montparnasse 75014,japanese,"Tu-Sa 12:00-14:20, Tu-Su 19:00-22:20",48.8425193,2.3260648
Flam's,Rue Saint-Lazare 75009,regional;alsatian;flammkuchen,"Mo-Fr 11:30-15:00, 18:30-23:00; Sa 11:45-00:00",48.8756169,2.3280376
Douraku,Rue de Compiègne 75010,asian,"Mo-Su 18:30-22:00, Mo-Sa 11:30-15:30",48.8798133,2.3536832
Le Cochon à l'Oreille,Rue Montmartre 75001,french,"Tu-Su 12:15-15:00,19:00-23:00",48.8644516,2.3451744
Le Charolais,Rue de Cotte,regional,Mo-Sa 06:00-22:00,48.8493078,2.3774714
Perchiana,Rue Mademoiselle 75015,persian,Mo-Su 10:00-23:00,48.843649,2.2939839
Les Petites Canailles,Rue Amelot 75011,french,Mo-Su 08:00-02:00,48.8607123,2.3679772
Crêperie de Cluny,Rue de la Harpe,french,Mo-Su 11:30-00:30,48.8521893,2.344248
MONK La Taverne de Cluny,Rue de la Harpe 75005,french,"""10:00-02:00 every day, sunday 12:00-02:0/""",48.8515725,2.3438953
La Petite Hostellerie,Rue de la Harpe,french,"Mo-Tu 9:00-15:00,19:00-23:00; Fr-Su 12:00-23:00",48.8520695,2.3444341
Maison de Gyros,Rue de la Huchette 75005,greek,Mo-Su 11:00-02:00,48.8531557,2.3451809
Chez Gladines,Boulevard Saint-Germain 75005,french,Mo-Th 12:00-23:00; Fr-Sa 12:00-23:45; Su 12:00-23:30,48.8497401,2.3508144
Crêperie Génia,Rue de la Harpe,french,Tu-Su 11:30-23:30; Mo 11:30-22:00,48.8528059,2.3446917
Marvely,Rue Crozatier 75012,brunch,Mo-Th 10:00-16:00; Sa-Su 09:00-17:00,48.8485041,2.3805544
La Fille à Papa,Rue du Sergent Bauchat 75012,french;regional,"Mo off; Tu-Sa 07:30-14:30,18:45-22:00",48.8455609,2.3932951
Sushi Q,Rue Cambronne 75015,sushi,"18:00-22:30, Mo-Fr 11:30-14:30",48.8454765,2.3021645
Ji Bai He,Rue Olivier de Serres 75015,chinese,"12:00-15:00,18:00-22:30",48.8316957,2.2928554
Pizza Chic,Rue de Mézières 75006,pizza,"12:30-14:30,18:00-21:00; Sa-Su 12:00-21:00",48.85019,2.3306996
Kokonor,Rue Saint-Jacques 75005,asian,"Mo-Sa 12:00-15:00,19:00-23:00",48.8455219,2.342543
Au Rendez-vous de la Marine,Quai de la Loire 75019,french,"Tu-Sa 12:00-14:00,19:30-22:30",48.8837279,2.3717518
Papi Restaurant,Rue Richer 75009,pizza;pasta,"Mo-Tu,Sa 12:00-14:00,18:30-21:30",48.8741108,2.3436798
Kimura,Rue Pernety,japanese,Tu-Sa 12:00-14:30,48.8337258,2.3186526
Totuma,Rue Alexandre Dumas 75011,venezuelan,Tu-Su 11:30-23:00,48.8532271,2.3906633
Churrasco Galo,Rue de Dunkerque 75009,portuguese,"Mo-Sa 11:30-15:30,18:00-23:30",48.881566,2.3478333
Otakuni,Rue Bobillot 75013,japanese,"Mo-Sa 12:00-15:00,19:00-22:30",48.8303294,2.3543356
Le Petit Prince de Paris,Rue de Lanneau 75005,french,Tu-Su 19:00-01:00,48.848483,2.3465489
Crêperie Plougastel,Rue du Montparnasse 75014,crepe,12:00-24:00,48.8423637,2.3259492
Les Pâtes Vivantes,Rue du Faubourg Montmartre,chinese,Mo-Fr 12:00-15:00; Sa-Su 12:00-15:30; Mo-Su 19:00-23:00,48.8747214,2.3415841
Sushi Story,Place Jean-Michel Basquiat 75013,japanese,"Mo-Sa 11:45-14:45, 18:45-22:45; Su 18:45-22:45",48.8310938,2.3750078
Italian Trattoria,Avenue de France 75013,italian,"Mo-Su 11:30-14:30, 18:30-22:30",48.8310107,2.3759336
Restaurant César,Boulevard Diderot 75012,italian;pasta;pizza,"Mo-Sa 11:30-15:00, 19:00-23:00",48.8467561,2.3831369
Le Rital,Boulevard de Reuilly 75012,italian,Mo-Su 11:01-23:00,48.8394891,2.3925048
Hyogo Sushi,Boulevard de Reuilly 75012,sushi,"Mo-Sa 11:30-15:00, 18:30-23:00; Su 18:30-23:00",48.8394498,2.3920616
L'Estrapade,Rue de l'Estrapade,french,"Tu-Sa 12:00-14:00,19:00-22:00",48.8446809,2.3466783
La Belle Ronde,Rue Daguerre 75014,crepe,Mo-Su 12:00-23:30,48.8336698,2.3296041
L'Ardoisier,Rue Abel 75012,coffee_shop,Mo-Fr 08:00-15:00,48.8481127,2.375689
La Toscana,Boulevard Diderot 75012,italian,"Mo-Su 10:30-15:00,19:00-23:00",48.8469322,2.384713
Dat Viet,Rue du Couédic 75014,asian,"12:00-14:30,19:00-22:30",48.8300253,2.3296185
Itadakizen,Rue Pradier 75019,japanese,"Tu-Sa 12:00-15:00,18:00-21:00",48.8752934,2.3817467
Café du Coin,Rue Camille Desmoulins 75011,french,"Mo-Fr 12:00-14:30,19:30-23:30",48.8590666,2.3810655
Pivoines,Rue Esquirol 75013,vietnamese,"Mo-Sa 12:00-14:30, 19:00-22:30",48.8343386,2.3607778
Cyril Lignac Chocolaterie,Rue Chanzy,french,Tu-Su 10:00-19:00,48.8528254,2.3852671
Le Villaret,Rue Ternaux 75011,french,"Mo off; Tu-Th 12:00-13:45,19:00-21:30; Fr,Sa 12:00-13:45,19:00-22:00; Su off",48.8643547,2.3728587
Les Marmites Volantes,Rue Armand Carrel 75019,french,Mo-Fr 12:00-14:15,48.8827997,2.3733397
Coup de Tête,Rue de Belleville 75019,french;bistro,Tu-Sa 12:00-24:00,48.8746907,2.3868019
Stéréo,Rue Notre-Dame-de-Lorette 75009,fine_dining;french,Tu-Su 18:00-02:00,48.8795328,2.3360493
La Terrasse des Archives,Rue des Archives 75003,french,"Mo-Fr 07:30-02:00, Sa,Su,PH 08:30-02:00",48.8612688,2.3578488
Ba Miên,Avenue de Choisy 75013,vietnamese,"Mo-Su 11:30-15:00, 18:30-23:00",48.8300192,2.3572538
Biscotte,rue desnouettes,french,Tu-Sa 19:00-22:30,48.8361336,2.2911849
Blend,Boulevard des Filles du Calvaire 75003,burger,Mo-Su 12:00-23:00,48.8612139,2.3669024
L'Écumoir,Rue Saint-Sabin 75011,italian,Mo-Fr 08:00-23:00; Sa 16:00-23:00; Su 08:00-17:00,48.8595048,2.3686879
Korus,Rue Amelot 75011,french,"We-Sa 12:00-14:00,We-SA 19:00-22:00, Su 19:00-22:00",48.8592341,2.3681415
Venezia,Rue Corbineau 75012,pizza;italian,Mo-Sa 12:00-14:30; Su 19:00-22:30,48.8388964,2.381634
Les Canailles Ménilmontant,Rue des Panoyaux 75020,french,"Mo-Fr 12:00-14:30, 19:00-22:30",48.866613,2.3853491
El Arzé,Rue du Chemin Vert 75011,lebanese,Mo-Su 19:00-22:00,48.8611059,2.3814748
Bien Ficelé,Boulevard Voltaire 75011,grill;rotisserie;bistro;brunch,Tu-Sa 12:00-14:00; 19:30-22:00; Su 11:45-14:00; 19:30-21:30,48.8623796,2.3727706
Brasserie Martin,Rue Saint-Ambroise 75011,french,Su-Th 08:30-24:00; Fr-Sa 08:30-00:30,48.8626445,2.3786484
Ïnouï,Boulevard Haussmann 75008,french,Su off,48.8744634,2.3207611
Chez Gladines,Rue des Halles 75001,french,Mo-Th 12:00-23:30; Fr 12:00-00:00; Sa 11:00-00:00; Su 11:00-18:00,48.8599164,2.3463862
Le Petit Commines,Rue Commines,french,Mo-Su 19:00-23:00,48.8620768,2.3662036
Deux Fois Plus de Piment,Rue Saint-Sébastien 75011,asian;chinese,"Tu-Su 12:00-14:00, 18:30-22:30",48.8615669,2.3706624
La fine Mousse Restaurant,Avenue Jean Aicard,french,Mo-Su 19:00-24:00,48.864743,2.3818722
Petrelle,Rue Pétrelle 75009,french,Tu-Sa 20:00-22:00,48.8809048,2.3467209
East Side Burgers,Boulevard Voltaire 75011,burger,"Tu-Fr 12:00-15:00,19:00-21:30; Sa 12:00-21:30; Su 12:00-17:30",48.8617676,2.3731078
Les Pâtes Vivantes,Rue de Turbigo 75001,asian,"Mo-Su,PH 12:00-15:00,19:00-23:00",48.863555,2.3471565
Savane & Mousson,Boulevard Richard-Lenoir 75011,japanese;asian;vietnamese;sushi;maghreb,LUNDI Fermé  Mardi – Samedi 12h00 – 14h30 19h00 – 22h30  Dimanche Fermé,48.8587754,2.3712093
Ossek Garden,Rue Rampon 75011,korean,Tu-Su 12:00-22:30,48.8663514,2.3680672
Chez Janou,Rue Roger Verlomme 75003,regional;french,"Mo-Su 12:00-15:00, 19:00-22:00",48.8567071,2.3672138
Salōn Marais,Rue du Roi Doré 75003,middle_eastern,"Tu 19:15-23:00; We 19:15-23:00; Th 12:00-14:30,19:15-23:00; Fr 12:00-14:30,19:15-23:00; Sa 12:00-16:00,19:15-23:00; Su 12:00-16:00",48.8599776,2.3643195
Aux Trois Violons,Rue Saint-Sébastien 75011,russian,Mo-Sa 20:00-02:00,48.8611118,2.3693564
Baladna,Place Denfert-Rochereau 75014,lebanese,"Mo-Su 12:00-14:30, 19:00-23:00",48.833839,2.3310374
La Cachette de Paris,Rue Marcadet 75018,french,We-Su 10:30-19:00,48.8912316,2.3385192
Chez Papa,Rue du Pré Saint-Gervais 75019,french,Mo-Su 06:00-02:00,48.8763412,2.3928571
Pierre Sang,Rue Oberkampf 75011,korean,"Mo-Su 12:00-15:00,19:00-23:00",48.8647,2.3723457
Mam'Ayoka Pajol,Esplanade Nathalie Sarraute 75018,cambodgienne;african;maghreb;equatorienne;guadeloupéenne,Mo-Fr 09:00-16:00,48.8886005,2.3627172
Neige d'Été,Rue de l'Amiral Roussin 75015,japanese;french,"Mo-Sa 12:30-13:30,19:30-21:00",48.8454117,2.2990085
Cô My Cantine,Rue de Ménilmontant 75020,vietnamese,"Mo-Fr 12:00-15:00, 19:00-23:00; Sa-Su 12:00-23:00",48.8673616,2.3847367
Mems,Rue de Marseille 75010,french,Mo-Su 10:00-23:45,48.8713901,2.3627406
Korean Barbecue,Rue Delambre,korean,"Mo-Su 12:00-14:00,19:00-23:00",48.8416571,2.327078
Chez Rita et Claudio,Rue du Mont Cenis 75018,italian;pizza,Mo-Su 11:00-22:30,48.8917251,2.344001
Trattoria Di Sapri,Rue Ordener 75018,italian,"12:00-14:30,19:00-23:00",48.8925185,2.343363
Mangerie,Rue de Jarente 75004,spanish,Mo-Sa 18:00-23:00,48.8556807,2.3628528
Loufoque,Rue Galande 75005,burger;french;mediterranean,Mo-Th 17:00-00:00; Fr 17:00-01:00; Sa 12:00-01:00; Su 12:00-19:30,48.8516099,2.3469206
Allard,Rue Saint-André des Arts 75006,french,"12:00-14:00,19:00-22:00",48.8533212,2.3410141
Chez Germain,Rue Saint-André des Arts,crepe,12:00-23:30,48.8532968,2.3417575
Tonkatsu-Tombo,Rue de l'Arrivée 75015,japanese,"Mo-Sa 12:00-14:30,19:00-22:30",48.8433344,2.3217293
Kootchi,Rue du Cardinal Lemoine 75005,afghan,"Mo-Sa 12:00-14:30,19:00-22:30",48.8469658,2.3519512
Stand'art,Boulevard de Ménilmontant 75020,french,Mo-Su 07:00-02:00,48.8652724,2.3852128
Elysées Hong-Kong,Rue Michel-Ange 75016,chinese,"""tous les jours sauf mercredi (pas d'horaires affichés)""",48.8417746,2.2589201
Chez Nenesse,Rue de Saintonge 75003,french,"Mo-Fr 12:00-14:30,20:30-22:30",48.8617292,2.362303
Moulin de la Galette,Rue Lepic 75018,french,Mo-Su 12:00-23:00,48.8873512,2.3371414
Les Mondes Bohèmes,Rue des Vignoles,french,Mo-Su 10:00-24:00,48.8538306,2.3993936
Le Renouveau,Rue du Faubourg Saint-Martin 75010,brasserie,Mo-Fr 06:30-02:00; Sa-Su 07:00-02:00,48.8732283,2.3581935
Sushirama,Rue du Faubourg Saint-Martin 75010,japanese;sushi,"Mo-Fr 12:00-15:00,18:30-23:00; Sa-Su 18:30-23:00",48.8732823,2.3579211
Le Supercoin,Rue Boinod 75018,french,"Mo off, Tu-Th 17:00-23:30, Su 17:00-23:30, Tu-Th 12:00-14:00, Fr 12:00-14:00,17:00-01:30, Sa 17:00-01:30",48.893111,2.350562
Loubnane,Rue Galande,lebanese,"Tu 19:00-22:30; We-Sa 12:00-14:30, 19:00-22:30",48.8512133,2.3476661
Welwitsch,Rue du Chemin Vert 75011,mediterranean;portuguese,"Mo 12:00-15:00; Tu-Fr 12:00-15:00,19:00-22:00; We off; Sa 12:00-17:00",48.8608437,2.3800665
Léon de Bruxelles,Rue Rambuteau 75001,friture,"Mo-Tu 11:30-15:00, 18:30-22:30; Fr 11:30-15:00, 18:30-23:00; Sa 11:30-00:00; Su 11:30-22:30",48.8627554,2.3470856
Etsi,Eugène Carrière 75018,greek,Tu-Fr 18:00-01:00;Sa 12:00-01:00;Su 12:00-15:00,48.8903669,2.3329368
Jour de Fête,Rue Caulaincourt 75018,french,Mo-Su 11:00-23:00; Tu off,48.8889248,2.3343299
Café Contresort,Rue des Portes Blanches 75018,french,Tu-Sa 10:00-18:00,48.8915876,2.3506917
Alluma,Rue Saint-Maur 75011,mediterranean,Tu-Fr 12:00-14:30; Sa 19:30-23:30,48.8681375,2.3750208
Vale & Ale,Rue Geoffroy Marie 75009,italian,"Mo-Su 12:00-14:00, 19:30-22:00",48.8734527,2.3436472
Social Square,Rue du Temple 75003,burger;poke;brunch,Mo-Su 08:00-02:00,48.8648297,2.3595957
Jones,Rue Godefroy Cavaignac 75011,french,Mo-Su 19:00-01:00,48.8566547,2.380071
Curry Street,Rue Traversière 75012,indian,"Mo-Sa 11:30-14:30, Mo-Sa 18:00-21:00",48.8485977,2.3744032
Cuisine d'ici et du Japon,Rue Sorbier 75020,french;japanese,Mo-Su 12:00-22:00,48.8680345,2.3899548
Sodam,Rue de Gergovie 75014,korean,"Tu-Su 12:00-14:30, 19:00-22:30, Mo closed",48.8332821,2.3158571
Elgi,Rue Saint-Martin 75003,pokebowl,Mo-Fr 08:30-15:00,48.8677169,2.3546846
El Juanchito,Rue de la Folie Regnault 75001,colombian,"Tu-Fr 12:00-15:00,18:00-24:00; Sa-Su 12:00-24:00",48.8620047,2.3852499
Sangeet,Rue de la Glacière 75013,indian;nepalese;asian;middle_eastern,"Mo-Sa 12:00-14:30, 18:30-23:00",48.8320253,2.3443178
La Gentilhommière,Place Saint-André des Arts 75006,italian;french;bavarian,Mo-Su 08:00-01:00,48.85322,2.3426923
Au Beurre Salé,Avenue Ledru-Rollin 75012,crepe,Tu-Sa 12:00-22:30,48.8485317,2.3720297
Pierre Sang on Gambey,Rue Oberkampf 75011,korean,"Mo-Su 12:00-15:00,19:00-23:00",48.8649433,2.3721825
Cheesers,Rue Yves Toudic 75010,sandwich,Mo-Fr 11:45-22:30,48.8693251,2.3640707
Enclos de La Croix,Boulevard Exelmans,french,"Mo-Fr 12:00-14:00,19:00-22:00",48.840723,2.2660512
Kakdougui,Rue du Couédic 75014,korean,"Tu-Su 12:00-14:30, 19:00-22:30",48.8300357,2.3298105
Côme Pyramides,Rue des Pyramides 75001,bowl;pita,Mo-Fr 10:00-15:15,48.8649211,2.3332049
Oxymore,Rue Saint-Maur 75011,french;pizza,"Mo-Fr 12:00-15:00, Sa,Su 12:00-16:00, Su-Th 19:00-23:00, Fr,Sa 19:00-23:30",48.8631786,2.3793559
L'Horloge,Rue Servan 75011,pizza;burger,Mo-Sa 07:00-22:00,48.8637889,2.3810867
El Camino,Rue Guillaume Bertrand 75011,latin_american,Tu-Sa 19:00-23:00,48.8635931,2.3806295
Cavalino,Avenue Daumesnil 75012,pizza;vegetarian,"Mo 11:30-15:00 off; Tu-Fr 11:30-15:00, 19:00-23:00; Sa 11:30-23:00",48.8432866,2.383266
French Eyes,Place Jean-Michel Basquiat 75013,french,Mo-Sa 10:00-00:00,48.8311618,2.375193
Chez Yu,Rue de Belleville 75020,vietnamese,"Tu-Th 11:30-15:30,18:00-22:00; Fr-Su 11:30-22:00",48.8729309,2.380691
L'Artisan du Burger,Rue Rambuteau 75001,burger,"Su-Th 10:30-22:30; Fr,Sa 10:30-23:30",48.8625088,2.3482422
Makido,Avenue Jean Jaurès 75019,sushi,Tu-Th 12:00-24:00; Fr 12:00-00:30; Su 15:00-24:00; PH 14:00-24:00,48.8877677,2.3898112
Barracao,Rue Oberkampf,brazilian,Tu-Su 17:00-02:00,48.8659051,2.3787988
Le Gavroche,Rue Saint-Marc 75002,french,Mo-Sa 07:00-01:00,48.8704052,2.3401387
Can Alegria,Rue Jean-Baptiste Pigalle 75009,french,Mo-Sa 19:00-01:00,48.8818216,2.3368647
À mi-chemin,Rue Boulard 75014,oriental;french,"We-Sa 12:00-15:00, 19:00-00:00",48.8331284,2.3284658
Mandoobar,Rue d'Édimbourg,korean,Mo-Fr 12:00-15:00; Mo-Fr 19:00-23:00,48.8794,2.32109
À La Biche Au Bois,Avenue Ledru-Rollin,french,"Mo-Sa 12:00-14:00,19:00-23:00",48.8480071,2.3710801
La Petite Chaise,Rue de Grenelle 75007,french,"Mo-Su 12:00-14:00, 19:00-23:00",48.8538669,2.3274765
Ménélik,Rue Sauffroy 75017,ethiopian,"Mo-Su 12:00-16:00,18:00-02:00",48.8906944,2.3205117
Fraulino,Rue Montgallet 75012,italian,"Tu-Fr 12:00-14:30,19:00-22:30; Mo,Sa 19:00-22:30",48.84384,2.3882657
La Cerise sur la Pizza,Rue Jean-Pierre Timbaud,pizza,"Mo-Su 12:00-14:30,19:00-22:30",48.867761,2.3780632
Le Bistro Viet,Boulevard Masséna 75013,vietnamese,"Mo-Su 12:00-15:00, Mo-Su 18:30-22:30, Tu closed",48.8235802,2.3717019
Mamie,Rue du Faubourg Saint-Denis 75010,burger,Mo-Su 08:00-02:00,48.8729579,2.3543441
East Mamma,Rue du Faubourg Saint-Antoine 75011,italian;pasta;pizza,"Mo-We 12:00-14:30, 18:45-22:45; Th-Fr 12:00-14:30, 18:45-23:00; Sa 12:00-15:30, 22:45-23:00; Su 12:00-15:30, 18:45-22:45",48.8510162,2.3777506
Kodawari Ramen (Yokochō),Rue Mazarine 75006,japanese;ramen,Mo-Su 11:45-23:00,48.8546284,2.3381142
Chez Van,Boulevard Saint-Marcel,asian,"Mo-Su 12:00-14:00, 19:00-22:00",48.8373851,2.354443
Ippudo Saint-Germain,Rue Grégoire de Tours 75006,japanese,"Tu-Th 12:00-15:00, 18:00-22:00; Fr 12:00-15:00, 18:00-23:00; Sa 12:00-23:00; Su 12:00-22:30",48.85317,2.3377566
Le Château de l'Ouest,Rue du Château,french,"Mo-Fr 12:00-14:30,19:00-22:30; Sa 19:00-22:30",48.8362418,2.3190956
Thai Panthong,Rue de l'Ouest,thai,"Mo-Sa 12:00-14:30, 19:00-22:30",48.8364802,2.3203215
BonJour,Rue Raymond Losserand 75014,asian,Mo-Su 11:00-22:00,48.8316049,2.3139895
La Vera Pizza Napoletana - Guillaume grasso,Rue Brancion 75015,italian,"Mo-Sa 12:00-14:30, 19:00-22:30",48.8336607,2.3043754
Dionysos,Rue des Petits Carreaux 75002,greek,Mo-Sa 11:00-21:00,48.8669123,2.347385
Sumibi Kaz,Rue de Montyon 75009,japanese,"Tu-Sa 12:00-14:30,19:00-22:30; Su 19:00-22:30",48.8730386,2.3441219
Noynoy,Rue Léon Frot 75011,thai,Mo-Su 12:00-14:30; 19:30-22:30,48.8550007,2.3871155
L'échoppe de Paris,Rue Léon Frot 75011,burger,Mo-Su 12:00-23:00,48.8539961,2.3879812
Banemi,Rue du Faubourg Poissonnière 75010,vietnamese,Mo-Su 11:45-22:00,48.8759079,2.3483917
Chez Joy,Rue Daguerre 75014,thai,"Mo-Fr 11:30-15:00,18:00-22:00; Sa 11:30-17:00",48.8358145,2.3248148
L'Esprit Tchaï,Rue Oberkampf 75011,indian;thai,Mo-Fr 09:00-19:30; Sa 10:00-19:30,48.8660372,2.3786313
Fichon,Rue Marcadet 75018,seafood;fish,"Tu-Sa 12:30-14:15,19:30-22:30",48.890949,2.3450954
Bekseju Village,Boulevard Saint-Marcel 75013,korean,"Mo-Fr 12:00-14:00, 19:00-22:30, Sa-Su 12:00-14:30, 19:00-22:30",48.8377563,2.3555937
Mamie,Rue du Faubourg Montmartre 75009,burger,"Mo-Su 08:00-15:00, 18:00-02:00",48.8730448,2.3429219
Blueberry,Rue du Sabot,sushi,"Tu-Sa 12:00-14:30,19:00-22:30",48.8527567,2.3314219
La Tables des Anges,Rue des Martyrs 75009,french,"12:00-14:00,19:00-22:00; Sa 12:00-14:00,19:00-22:30; Su-Mo off",48.8810846,2.340214
Pizza Rossi,Rue Blondel 75002,italian;pasta;pizza,"Mo 11:45-14:30; Tu-Fr 11:45-14:30, 19:00-22:30; Sa 19:00-22:30",48.8688756,2.3530217
Le Comptoir du Houmous,Rue Bobillot,lebanese,Mo-Sa 12:00-22:00,48.8299152,2.354007
Chez Papa,Boulevard du Montparnasse 75014,french,Mo-Su 08:00-23:30,48.8408746,2.3323597
Montée,Rue Léopold Robert 75014,french,"Tu-Sa 12:00-14:00,19:30-21:30 ""by appointment""",48.8407951,2.3306986
Richer,Rue Richer,french,Mo-Su 08:00-01:00,48.8741138,2.3477501
Dindon Dandy,Rue de Paradis 75010,french,"Mo,Tu 18:00-24:00; We-Sa 00:00-02:00,18:00-24:00; Su 00:00-02:00",48.874555,2.3548252
Casa Botticelli,Boulevard de Charonne 75020,italian,"Mo-Fr 11:00-14:15,19:00-23:00, Sa,Su,PH 11:00-14:30,19:00-23:00",48.8561829,2.3950942
Wunderbär,Rue Beaurepaire 75010,german,Tu-We 12:00-23:00; Fr-Sa 12:00-00:00; Su 12:00-19:00,48.8702965,2.3639599
Hardware Société,Rue Lamarck 75018,french;spanish,"Mo-Fr 09:30-16:00; Sa, Su 09:30-16:30",48.8868808,2.3445853
Janine,Rue des Dames 75017,french,"Mo-Fr 12:15-14:30,19:30-23:00",48.8830189,2.3180008
Chez Foucher Mère & Fille,Rue Madeleine Rebérioux 75018,local,Mo-Fr 09:00-17:00,48.8946292,2.3530932
Bonjour Viêt Nam,Rue Thouin 75005,vietnamese,"We-Mo 12:00-15:00,19:00-23:00",48.8451499,2.3494476
L'Argument,Rue de la Convention 75015,french,Mo-Su 07:00-00:00,48.8407136,2.2891403
Les délices d'Aphrodite,Rue de Candolle 75005,greek,"Mo-Su 12:00-14:15,19:00-23:00",48.8401766,2.3510816
Burg'Heure,Rue Léon Séché 75015,burger,"Tu-Sa 12:00-15:00,19:00-23:00; Su 19:00-23:00",48.8419007,2.2984714
Le Petit Pontoise,Rue de Pontoise 75005,french,"Mo-Su 12:00-14:30, 18:30-22:30",48.8498708,2.3520805
La Poule au Pot,Rue Vauvilliers 75001,french,Tu-Su 19:00-05:00,48.8617832,2.3433043
À la Châtaigne,Rue de Miromesnil,corsican,"Mo-Fr 12:00-14:00, 19:30-22:30; Sa-Su 19:30-22:30",48.8727734,2.3161143
Makan Makan,Rue Richer 75009,indonesian,"Mo-Fr 12:00-14:30, 18:30-22:00; Sa 12:00-15:00",48.8741173,2.3458145
Cantine Sicilienne,Rue Orfila 75020,italian;pizza,"Mo-Sa 12:00-14:30,19:30-22:30",48.8670053,2.3976788
La Cantine de Quentin,Rue Bichat 75010,french,Mo-Fr 11:30-14:30,48.874027,2.3640512
